original_text,actual_stars,predicted_stars,explanation,approach,json_valid
"Finally a place to watch local sports with sound.  I always find it unbelievable that many sports bars here in town look past our local teams and support the foreign hoards from Wisconsin, Minnesota, NY, Illinois etc..  Not at Dukes...local first.

Please return to your frozen tundras and leave us with the Suns, Cardinals, Devils and Coyotes.

The food here is nice bar/pub fare and is always fresh and hot.  Drinks are plentiful and service respectable.  Would like to see a little more variety on the taps but other than that Dukes is a great place to catch a game.",3,4,"Positive sentiment overall. The reviewer appreciates the focus on local sports, enjoys the food quality, and finds the service respectable. The only minor complaint is the limited tap variety.",Few-Shot,True
"I agree with Rachel C. & Luciana L. on the parking situation and the logistics of the whole place.  Although I will probably go again because my kids do enjoy it and I was able to get the last paid parking spot (at 11am).  I have been to this event and others in downtown Glendale and they can't handle the volume of people that go to these things.  Downtown Glendale is similar to downtown Scottsdale but 1/10th the size and capacity.  There are tons of little shops in a historic district with ONE parking garage and whats worse is you will pass many empty lots that they pay cops to stand around just to make sure you dont park there.  I finally ask a police officer where CAN we actually park.  Anyway, the event was cool with lots for the kids, it is a farmers market that sells food you would find at the fair thrown in with some chocolate vendors, jumpers and carnival type rides for the kids in separate areas that require separate tickets for each area (this was way annoying too).  Glendale could do better by putting up directories everywhere for people to know where they are, where bathrooms are, and they could spread things out and offer more space per human being (I am sure this place is stupid in the evening).  Plus they need to do something about parking, even if they build a HUGE garage and charge $20 a car at least there would be options for people who dont want to walk a mile before they walk around for miles....

All that said, we will probably go next year because we still do not know the definition of insanity.",3,3,"Mixed sentiments. The reviewer highlights parking and logistical issues, but also mentions their kids enjoy it and they would likely go again. The negative aspects are balanced by the positive experience for the children.",Few-Shot,True
"I love you, Marquee Theatre. 

Just last night I saw Dashboard Confessional here and it was packed. 
I have seen many shows here and I have not a single complaint about The Marquee. The bartenders are really friendly, the bouncers do a great job, and the bands they have play here are always phenomenal. Not to mention, the sound guys do an awesome job. 

I love how big it is in the Marquee, because it allows for tons of people to see a great show. One thing that most venues fail at is keeping it cool inside of the venue, The Marquee on the other hand does a tremendous job of keeping the temperatures bearable in there. 

The only thing I hate (and this has nothing to do with The Marquee itself) is that I am always standing next to belligerently drunk, annoying girls who can't seem to keep their mouths shut during a set.... Please don't speak... I am listening to Chris Carrabba's angelic voice, thanks. 

All in all, I think that The Marquee Theatre is my favorite venue of all time.",5,5,"Extremely positive review with multiple compliments about the venue, staff, and overall experience. The only complaint is about other patrons, not the venue itself.",Few-Shot,True
"Heart be still I loved this place. Way better than I expected. I had the spicy noodles and they were delicious, flavor great and quality was on point. For desert the sticky rice with mango, I dream about it now. Highly recommend if you are in the mood for Thai food. I'll be back!",5,5,"Strong positive sentiment expressed with phrases like 'loved this place', 'delicious', 'flavor great', 'quality was on point', and 'highly recommend'.",Few-Shot,True
"What can I say? Like the rest of joes restaurants, this place is great! Keep them coming Joe!",4,5,"Enthusiastic positive sentiment, indicating satisfaction.",Few-Shot,True
"Been wanting to try this place out for some time and finally had the opportunity today.  I didn't expect much of a crowd on a Friday morning, however when we pulled in I was shocked to see about 10 people waiting outside.  Typical for a weekend morning breakfast joint.....but a weekday?  This place must be good.  Suprisingly, the wait was short...they obviously know how to handle a crowd at this place.  Once inside, I was impressed.  Pretty small, but we had plenty of room in our booth.  I ordered the eggs and sausage, which came with toast and potatoes. The food came out quick.  The thing that really set it apart was the meat.... this was no Jimmy Dean.  It was worthy of Abe Frohman, Sausage King of Chicago.  Needless to say, I'm looking forward to going back and trying some more items on the menu.",4,5,"The reviewer expresses positive sentiment about the short wait time, the interior, and especially the high quality of the sausage, indicating a very positive experience.",Few-Shot,True
"One of my top choices for downtown Phoenix. Always an upscale, posh vibe, but with very generous prices on entrees. Good looking people throughout this bar. 

The Kisras are VERY tasty and a good spin off the typical flatbreads at many restaurants now. 

Brunch here on Saturdays or Sundays-- great drink specials too.",5,5,"Positive sentiment: upscale vibe, generous prices, tasty food, good looking people, great drink specials.",Few-Shot,True
It's not only a book store but also a community wherein a lot of readers meet. They also have a wide selection of used and unused books as well as novelty items so I get to do my shopping at the same time!,4,5,"Positive sentiment due to the bookstore being a community hub with a wide selection of books and novelty items, making it a convenient shopping destination.",Few-Shot,True
"Im a sucker for great libations and the stores that can carry the works.. Zinfandel for me.. Magners for my boy.. ( a great Irish cider we fell in love with in SF)..
great tequilas.. all types of wines.. you get my sniffster...",5,5,Positive sentiment indicating satisfaction with the selection of drinks.,Few-Shot,True
"Alberto was so cute!  He cheerily greeted us and showed us to the bar.  We ordered the bruschetta with wine while we waited for our to-go order to be prepared.  Alberto visited with us briefly to ensure we enjoyed our bruschetta - and we loved our appetizer!  YUM!  Fresh, fresh, fresh tomatoes and bursting with flavor!  It was fun just being a part of the experience at Alberto's!.

Try the desserts!",4,4,"Extremely positive sentiment expressed, highlighting excellent service and delicious food.",Few-Shot,True
This is just like Filiberto's. Fast-food mexican food. It's really good and taste pretty authentic to me. My hubby and I stopped in for a quick bite to eat and we went there because he heard it was good from his co-workers. I'm a huge critic of mexican rice and beans and this place has it down. I got the lunch special of the day which was 2 bean tostadas with beans and rice. It was sooo much food and I was so stuffed!  Next time I will get something smaller. You can't beat all that food for $5! They have a good salsa bar with all the fixings!,3,5,"Positive sentiment due to good food quality, large portions, and affordable price.",Few-Shot,True
"I have driven past this place a million times and never stopped, so today I did.
I basically was in an overpriced Subaway called Port of subs. The sub was ok, nothing special. They do not have a good variety of bread choices and none of their subs really sounded that good. I was SUPer starving, if I wasn't I probally would have left and ate somewhere else.

The staff was very nice and the place was clean. I do think I will eat there again.",2,2,"Mixed sentiment. The reviewer found the food and variety lacking and overpriced, but the staff was nice and the place was clean, and they would eat there again.",Few-Shot,True
"Vegan Mexican with a urban funk to it. Should it work?  I dont know. Did it work?  Not really.

We walked in, it was empty quiet and after 20 seconds a surprised guy walked in and greets us. We take out seat on the purple booths and browse the menu while we sip watermelon water. Things got a bit stranger from there.

The menu had many interesting options, but each one we tried to order we found out that the didn't have chips, mushrooms or chorizo, key ingredients in many of the things on the menu. We had to just ask what can we order.

We ordered and waited, as the sun set it became quite dark as no one had turned on the lights. Another customer walked in but the waiter was busy working as a cook. It became even darker as we waited. The other customer finally was given a menu and the lights were turned on, however it was still pretty dark. 

Our tacos came, they were a bit small we each had 2.5 tacos I assume the 1/2 a taco to make up for the lack of chips on the side.

The tacos them selves were good, nice flavors crunch etc. for $8-$9 they should be good.  However the other problem sunk in as we were leaving, we were still hungry and after $21 and 45 min we were less than happy.

The next day they had posted a photo to Facebook, not about their food, or a special but look how how our waiter/cook is.   

So I guess if you want to look at toned male waiter this is your spot. Otherwise there are many kinks that need to be worked out.",2,2,"The review describes multiple negative experiences: missing ingredients, slow service, dark environment, small portions, and feeling hungry after the meal. While the tacos themselves were good, the overall experience was unsatisfactory.",Few-Shot,True
Very typical mexican food. nothing special.,3,3,"Neutral sentiment. The food is described as typical and not special, indicating an average experience.",Few-Shot,True
"I have heard about this place for couple years before I actually get to try it out. Their guacamole burger is my favorite, and the Peanut Butter Malt was just amazing!! First time I tried, I ended up getting another one to go. They also have corn beef sandwich on Thursday, which I haven't get the chance to try yet. Only thing I dislike is that they close at 8 pm which is a bit too early for me.",4,5,"Strongly positive sentiment due to favorite burger and amazing malt, with a minor complaint about closing time.",Few-Shot,True
"I really like this place! Plenty of room, very organized. And is willing to help you out. Price is very acceptable @ $7.00 a day. They have ear plugs, targets and beverages to purchase at a reasonable price. If it's your first time there is a 10 min video they want you to watch. It's diffidently a great place to go, just have to watch out for dumb A$$ like myself. I tend to have a major brain freeze. But the workers there are nice enough to let me know what I did wrong in a polite way. Give me time! I promise I won't shoot anyone! I'll get better.",4,5,"Strong positive sentiment due to liking the place, good organization, helpfulness, acceptable price, and polite staff.",Few-Shot,True
"What a treasure! It's hidden behind downtown skyscrapers so you would never imagine it existed. The contra dancing once a month is a ton of fun and it's done to eclectic live music that sounds like a cross between Irish folk music and hillbilly blue grass. 

The wood dance floor can get crowded and in the summer the air conditioning doesn't get the job done for the people who do this very aerobic dance. If a/c was better I would give it a 5 star.

Parking is easy and seems to be very safe.",4,4,"Positive experience overall, but the air conditioning issue prevents a 5-star rating.",Few-Shot,True
"I struggled a lot on whether to give this a 3 or a 4. Honestly, I'm not happy with my decision and I'm thinking it may deserve a 3. This place is new to me, but I'm no stranger to ""Mongolian BBQ"" as I've been a long-time fan of YC's. Obviously I'm going to compare the two. 

I liked that they had fresh meat, but it was a little fatty and since they use thicker chunks as opposed to shaved and frozen, it takes longer to cook your food. They seem to stack up orders on the hot disc. It definitely lacks the flair you get when eating at YC's, but the novelty of that wears off after a few times anyway. Plus, I know it's wrong, but I prefer the frozen shaved meats to these chunks. It's just different though - I wouldn't say frozen is better, just that I prefer it. 

I would even go so far as to say I preferred a lot of their fixin's outside of the meat. They had a better selection of spicy powders and sauces than YC's, and this place definitely caters to the spicy food lover more. They also had better vegetables. I should also mention they have a better selection of meats including two types of beef and even shrimp and scallops. Even your choices of noodles and rice was more extensive. Come to think of it, they really beat the shit out of YC's hands down in the available food department.

And taste? Well, it was delicious I must say. Of course, I assembled the dish, so if it wasn't any good I have to accept at least part of the blame if not all. If I had to compare, I'd say YC's is very reliable and good consistantly because I tend to always create roughly the same dish. GG's I could see having a much broader range of flavors and experiences. 

The ambiance was okay for a strip-mall restaurant. It was kinda kitschy, but charming enough and fairly comfy. They had attention to detail. I think YC's (depending on which one you go to) is a ""no frills"" sort of place compared to this. They were piping in some good contemporary alternative music as well... for a minute, I thought someone had lifted my ipod.

Service was attentive, but odd since this is a ""get your own food"" kind of place... They also have menus which is strange considering you basically put your own dish together and since the server explains the process again to you in detail. I felt a bit like a child being explained something so simple and obvious, but my girlfriend had a confused look on her face, so maybe it's a good thing they do that. Regulars probably just get escorted over to the line.

I think my main gripe with it was the tiny bowl they gave me for the fixin's... but then again, you aren't putting noodles or rice in there like you do at YC's - they add that as they cook it for you. So I suppose the portions are comparable. Then there's the price. A little high perhaps - maybe higher than YC's (I know they used to be 5 bucks for a lunch bowl). But you do get a lot for your money if you know how to pack the food in the bowl. 

So I guess I was right to give it a 4 instead of a 3... turns out I really liked it. I think this would be a real treat for someone who hasn't had Mongolian BBQ before. I consider this to be a great alternative to YC's... Impressive.",4,4,"The reviewer was debating between 3 and 4 stars but ultimately decided on 4, indicating a positive experience with some minor drawbacks. They highlight the fresh ingredients, better selection of fixings, and delicious taste, while also noting some issues with the meat and bowl size.",Few-Shot,True
"I had a hankering for raw fish today and decided to give Moto a try.  Overall I was pleased.

The menu had a wide variety of tempting Asian treats but I was here for fish, so I ordered the sashimi combo with a bowl of Miso.

The soup was a bit odd.  It seemed to be normal Miso soup with some shredded cabbage tossed in.  The cabbage added a texture that I didn't really want but it was easy to eat around it.

The presentation of the sashimi was interesting.  I had a pinwheel of fishy goodness with yellowtail, smoked salmon and tuna.  The fish tasted quite fresh and the portions were generous.

When I need a sushi fix for lunch I'll be returning to Moto.",3,4,"Positive experience with fresh fish and generous portions, despite a minor issue with the miso soup. The reviewer intends to return.",Few-Shot,True
"I cannot believe all these negative reviews. 

First I'd like to start with the prices. Don't get me wrong, I love a good deal, BUT, if you are going to complain about how jobs in America are moving to China and India and not shop at AA because of their prices, then you are a hypocrite. AA supports US jobs and their factory is here in the states where they actually care about ethics and their employees. And, they have sales too, I have been in this store more than a few times and seen 30% - 50% off sale signs. And, on their website you can shop the sale section and save up to 75% if not more.

To the clothes - I understand some people may be weirded out and flash back into the 80's when they see the clothes here, as I have read from the reviews on here, BUT, these clothes are actually very stylish and a simple top with a simple pencil skirt  from AA and with some accessories you have a fab outfit. If you are looking for something not so simple try a white strapless romper with their petticoat skirt, add some accessories, and your done. 

The sizes - I am size 4-6 with curves, and the clothes from here fit me fine. I can understand the frustration if you are a little bigger and have had a hard time fitting into the clothes from AA. But, the good thing is that AA is now coming with XL sizes in some of their clothing. 

The models - I love the fact that the models are real and barefaced. As someone who has struggled with a skin condition, I always hate walking around the mall only to see photoshopped perfect faces surrounding me. I always feel comfortable when I walk into AA.

This store - I have never had a bad experience. Always a good one. i like the store, the employees have always been nice to me, I have no complains.",5,5,"Strongly positive review, defending the store against negative reviews and praising the prices, clothes, sizes, models, and overall experience.",Few-Shot,True
"I can't help but love this place. I've been going here since, quite literally, the day the opened. I move further away and I keep coming back.

The staff is friendly, the food is delicious, the beer selection constantly rotates to new and interesting beers... and this is basically the de-facto hangout for climbers and cyclists! Really can't go wrong with this place.",5,5,"Extremely positive sentiment. The reviewer expresses strong affection for the place, citing friendly staff, delicious food, great beer selection, and a unique atmosphere. The repeated visits despite moving further away indicate high satisfaction.",Few-Shot,True
Super friendly staff and smoothies come out so fast...delicious too!,4,5,"Positive sentiment regarding staff friendliness, speed of service, and taste.",Few-Shot,True
"I recommend Kona for their American menu but skip the sushi! I ordered a Vegas roll a long time ago and it was horrible! I vowed to never come back until my friend Danielle told me that they have other items on the menu like salads, sandwiches, pasta, and burgers. I caved in and agreed to meet her for lunch at Kona. We shared some cheese and bacon fries. I ordered chicken pesto pasta and she ordered a club sandwich. A friend met up with us while we were having lunch and they gave him a huge slice of red velvet cake for his birthday! Friendly service and great food. What more can you ask for? I am now a huge fan of Kona and I can't wait to come back!",4,5,"Strong positive sentiment overall, despite a past negative experience with sushi. The reviewer praises the American menu, friendly service, and food quality, and expresses enthusiasm to return.",Few-Shot,True
"I came here for the first time ever on Mother's Day. They were packed ,the line was out the door and down the path. Still they managed to get everyone seated and quickly attended to.
We were a party of 10  our server was so great and i am sorry to say i do not remember her name. She had all 10 drinks refilled continuously. Brought us lemons and cleared the table with amazing speed, as well as taking care of a completely full restaurant packed with Children that were running under foot.   The only down part was that they had plastic dishes but, with all those people what are your choices.
I loved the food. I had shrimp and fish and vegetables.  Nothing fried.       The best part for me was the Chocolate fondu!!  Although there were many different choices. You could never say that you did not like what they were serving.  have seen a million adverts for this place and i am happy that i finally got to go.",5,5,"Strong positive sentiment. Despite being extremely busy, the service was excellent, and the reviewer loved the food and chocolate fondue. The plastic dishes were a minor issue but understandable given the circumstances.",Few-Shot,True
burgers were terribly unoriginal.  french fries came strait out of the safeway freezer section.  the guy working was so hungover it was kind of sad to watch.,2,1,Strong negative sentiment about the food quality and the employee's condition.,Few-Shot,True
"Sorry Jesse had such a bad experience here.  I have been using this place for about, well,  from the week they opened as it is so close to my office.

They have never lost or damaged any of my clothing, and I drop my wife's delicate stuff off here as well for dry cleaning.  They have also always been true to their word on when I can pick up my clothes - although I am usually days late on the pick-up (one benefit of being a clothes-horse I guess). 

Two doors down from Dunkin, so fantastic to drop and pick the rags and then grab a cup o'joe before hitting the office.  The women who work there aren't too hard on the eyes, either, which is always a plus.

Hard to believe they are still using a dot matrix printer, but that has no impact on service.",4,4,"Generally positive experience with reliable service and convenient location, despite outdated equipment.",Few-Shot,True
"Juan Jaime's is where the simple taste of Mexico are served with delectable results.  The kitchen produces vibrant fiesta flavors that left me wanting more. The simple menu offers approachable, exciting, delicious food that satisfies any appetite.  The Margarita's flavor should be praised. And the staff is top notch.  This is just what Chandler needed.  If you go ask for the Grilled Mahi Mahi.  You'll thank me later.  I can't wait to go back.",5,5,"Strong positive sentiment throughout the review, praising the food, drinks, staff, and overall experience.",Few-Shot,True
"Not bad, but not my first choice for the area. The staff are friendly and the food is good, but it just feels too much like a man's club. 
That being said, it is a great place for guys to go for dinner who are really looking for dinner. I think I need more... of something.",3,3,"Mixed sentiment. Positive aspects include friendly staff and good food, but the reviewer expresses reservations about the atmosphere and overall experience.",Few-Shot,True
"God Bless Lifetime Fitness.

First off, let me tell you how much I despise working out.  Like, at times I'd rather drink my own pee than even come within 50 feet of the stair stepper.  

However, LTF (have you noticed that I like to abbreviate?  Get used to it friends...)  makes my gym experience fairly painless.  Steve W, I salute you for aknowledging the value of such a fine work-out establishment, and I actually have many of the same opinions. But because I like to hear myself talk, I'll reiterate some of my favorite points.

First off, I'm absolutely not a fan of children.  Especially at a gym.  Lifetime has FREE childcare for kiddos 12 and under so us singles can flirt our way through our workout without your kids sniffling and screaming.  Kids can play and swim outside under parental supervision at the pool, complete with waterslides and some kid-specifc water fountain spray thing.  They love it.  And I do too.  WATERSLIDES?  I mean come on.  LoveitLoveit.

Lifetime's members span the board, which is nice because I like the fact that I'm not the most out of shape person there.  I also like that there is nice scenery to watch and inspire me to keep my feet on that god forsaken stair stepper.  You may even see a professional athelete or TV personality on occasion.  Who doesnt love that?

You never wait for a piece of equipement because there are tons of machines.  And they are not covered in meathead sweat, which is always nice.

My favorite part of LTF is the group classes.  Excellent teachers, classes every day of the week, and a good variety of options.  I'd like to see more coreographed classes like Hip-Hop, but whatever, Kickboxing Jam is pretty damn close.   

Locker rooms are always spotless, towel service is free, sauna and steam rooms arent full of weirdo naked people, and they have this device that dries your bathing suit in under a minute.  Ingenious!  

I've been a member of a ton of Scottsdale gyms but I drive the extra 20 minutes in rush hour to go to the Tempe LTF.  Doesnt road rage burn calories anyway??  Win-win situation.",5,5,"The reviewer expresses strong positive sentiment towards Lifetime Fitness, highlighting various aspects such as childcare, diverse membership, equipment availability, group classes, and clean facilities. The reviewer also mentions driving extra distance to go to this specific location, indicating high satisfaction.",Few-Shot,True
"As a real estate investor, I need contractors that I can truly count on to get things done for me.  This means that my calls get returned in a timely fashion, work is done properly, quickly and competently but most importantly, that I get quoted a fair price for a good job.  

Don't give me drama and definitely, don't give me any bullshit excuses or sales pitches.

I'm so glad to have found David and Tracy.  They run a tight ship, they are extremely professional and I sensed their sincerity from the word hello and I talk to contractors and real estate agents almost every single day.

Thank you for a job well done.  You have definitely made the cut as part of my go to crew, not only for my rental properties but as a highly recommended vendor to my Sonoran desert friends, colleagues and neighbors.

Cheers!!",5,5,"Strong positive sentiment. The reviewer explicitly states satisfaction with the service, professionalism, and fair pricing.",Few-Shot,True
"A great place to experience some unique and innovative dishes.  The Stetson Chop, of course, is the highlight of my Cowboy Ciao experience, as it tends to be for many others.  But I've also had good luck trying other things on their menu, such as the Mini Mushroom Pan Fry, a less expensive alternative to the entree version.",4,4,"Positive sentiment, highlights unique dishes and a specific favorite.",Few-Shot,True
"The Service is great.  The food is ok.  The salsa.....horrible.  Please rethink your salsa.  Oh, and if you order a side of jalapenos they charge $1.99.  I have never heard of a Mexican restaurant charging for jalapenos.  Overall, just an ok place.  There are better options on and around Mill.",3,3,"Mixed sentiment. Great service, ok food, but negative comments about the salsa and extra charge for jalapenos. Ends with 'just an ok place'.",Few-Shot,True
"Since this is a Kimpton Hotel my standards are fairly high. 

The reception area and pool are very well done, in typical Kimpton fashion. The rooms are nice, however could use more work. The bathrooms are completely remodeled, but the little amenities that I'm use to like the Ipod docking station, flat screen tv, cordless phone, room service past 11pm and multiple outlets (i'm an electronics junkie) just aren't there. The room really feels like any other average hotel. 

The spa was lovely, but it is not a full spa. I was hoping to sit in the steam room before my 90min massage, but unfortunately there wasn't one to sit in. The massage room was nice and the largest I had ever been in. It had it's own private bath/changing room and a large copper tub close to the actual massage table. I was pretty bummed I didn't add a bath to my massage. 

All in all I would stay here again since it's in a great location. Plus, the guys at the bell desk will give you a ride (within 3 miles) in a Cadillac Escalade free of charge. That was a great when it came time to partying at night!",4,4,"Mixed sentiments. Positive aspects include the reception, pool, spa, and free rides. Negative aspects include missing amenities in the room and the spa not being a full spa. Overall, a somewhat positive but not outstanding experience.",Few-Shot,True
"Had lunch here with my wife today. It's the second time I've been and her first. After my first visit it rocketed into my top five favourite restaurants of all time. They have some top notch food, and the best thing is that it's such a deliciously welcome change from the bottom-feeder's Mexican crap that you see all over Phoenix. The menu is varied and I think I eventually will want to try everything. Appetizers include fried alligator and frog's legs. The main I had today was their Mardi Gras Pasta, which is linguini with tomato, thin-sliced garlic, andouille sausage, crawfish meat, onion and delicious shrimp topped with a really nice creamy sauce. Absolutely delicious. The wife had mahi-mahi with an even NICER sauce, and dirty rice on the side. Although a tiny bit on the pricy side it's definitely worth coming back to. Large open seating (outdoor seating also available), dimly lit, old-style jazz, a large full-service bar and a very quaint outside waiting area with water feature, giant fans etc. The service was also great and both times I've been, the waiters have been very helpful (the first guy told me that if I got the large serving of alligator, to try it 'half-blackened' - a great tip which allowed me to taste both 'styles' of the appetizer). They also have things I've not heard of before like etoufee and opelousas. If my dad didn't live over seven thousand miles away I'd take him here in an instant - he'd absolutely love the place. You will too.

Oh yeah, they have creme brulee (with fresh fruit) and sweet potato pecan pie, amongst other things, for dessert. We had the latter - yum.",5,5,"Extremely positive review with detailed descriptions of delicious food, great service, and pleasant atmosphere. The reviewer explicitly states it's one of their top five restaurants.",Few-Shot,True
"Thanks fellow yelpers for brining us to Four Peaks!  My husband and I were stuck in Phoenix for the night and needed a place for dinner.  Ironically we ended up at Four Peaks (a Vikings bar) on our way back home to Minnesota.  

My husband loves beer (brews a ton of his own) and especially enjoyed the beer sampler. Trying 10 beers for around $9, yes please!  I don't really love beer so I had a cider and it was exactly what I needed.  For dinner I had the turkey burger with fries.  The turkey burger was standard but the fries were awesome.  I think it was the beer batter.  My husband go the carne adovada and he raved.  I think he may try to convince me to fly back to Phoenix just for that dish!

The atmosphere was also great.  It was very laid back and fun to be able to sit amongst the beer being made.  

I highly recommend Four Peaks whether you are a Phoenix native or otherwise!",5,5,"Strong positive sentiment due to enjoyment of beer sampler, cider, fries, carne adovada, and atmosphere. Highly recommends the place.",Few-Shot,True
"I've got mixed feelings about at&t... just as I'm sure that most people have mixed feelings about their mobile carrier.  But this review isn't for at&t as a company, it's just for the Scottsdale store where I stopped in recently to return a phone.

Long story, but I had a temporary android phone and hated it.  After hours (literally hours) on the phone with at&t customer service, I worked it out so that I could return my android phone at this store and then head over to the apple store with my upgrade eligible status to get the new iPhone.  That part is another story, and took longer than expected, but luckily, I did have a decent experience at this store thanks to the help I received from Hasen, the retail sales consultant that helped me out. 

I hope there isn't really ever a need to return to this store, but if you must go, ask for Hasen... he was friendly, answered my questions, and provided the service I was seeking in a speedy yet attentive manner.",4,4,"The review expresses mixed feelings about AT&T in general, but praises the specific store and employee (Hasen) for providing good service. This suggests a positive, but not overwhelmingly positive, experience.",Few-Shot,True
"Yummy pancakes made from special house batter were perfectly golden, light/airy & spongy in texture, and had a subtle maple flavor even without the addition of their syrup.  Pancakes are their flagship breakfast entree, though you can choose from the many other items including omelettes, french toast, or the common 2-egg with sides combos.

This place has a local owner with a family member as the chef named Dean that is admired by most patrons.  Oh, and he's the one who makes the delicious pancakes of course.  Atmosphere is clean, sterile, and almost like an old hospital cafeteria from decades ago (notice the operating room blue colored booths).  

Patrons are almost exclusively senior citizens and the feel is relaxed, comfortable, and really is a throwback to casual breakfast spots were in the past.  Location is on the north side of Peoria just before 99th ave., not far west of the 101.  It's an older strip mall with ample parking, but down't be thrown off by the modest exterior (restaurant is to the far right when you enter the lot).

I really like this place because of the overall vibe, friendly service, and pancakes.  It's also a nice getaway from Millennials.",4,4,"The review expresses overall positive sentiment, highlighting the delicious pancakes, friendly service, and comfortable atmosphere. While the decor is described as sterile, the reviewer explicitly states they 'really like this place'.",Few-Shot,True
Julio G's lunch menu offers some very delightful dishes.  I recommend the beef flautas special with rice and beans. The wait staff was very nice and efficient.  Good group restaurant spot!,4,4,"Positive sentiments regarding food quality, service, and suitability for groups.",Few-Shot,True
"We love this restaurant. It's a family-owned place and you always feel welcome. The food is excellent, especially compared to On the Border, etc.

Order the guacamole.

A tad pricey but it's North Scottsdale, so what do we expect?",4,5,"Strong positive sentiment: loves the restaurant, feels welcome, excellent food, and discounts the price due to location.",Few-Shot,True
The folks here are the best!,5,5,Strong positive sentiment expressed about the people.,Few-Shot,True
"I have been dying to go here since a coworker's spouse is one of the chefs. We finally went  last night  before the Symphony and it was a very good dining experience. The food came impossibly fast. The shrimp and Sausage Po Boy sliders were heavenly. The bread is this roll type of joy like break back east. Yum. You know the type of bread you can't find in AZ or west of the Rockies as Al Pacino would say-lol!They also served the bread basket with a veggie type of garnish if mixed with butter and put on the bread it had a very pleasing taste to it. Innovative menu- Lobster Potpie and Duck Quesadillas. HMMMMMM! Interesting. I had a side of Mac and cheese which is what I had heard about for so long and a Caprese Salad. My friend had divine Salmon. I am not a Salmon fan but i tasted it and it was yummers. My Ice tea was tasty and my friend had  a Basil Mojito that was mixed well. I don't like them usually because they are so strong mouthwashy tasting, but this had a nice blend to it. The restaurant decor is beautiful.We did not get desert but I want to go back and try those Seasalt sticks. All in all I loved going here. DT was packed last night due to Wrestle-Mania but we were in and out  in an hour at 5ish, so try that time to avoid crowds. Service was great despite other reviews. I know great service and I had it.",4,5,"The review expresses overwhelmingly positive sentiments regarding the food, service, and overall dining experience. Terms like 'heavenly,' 'yum,' 'divine,' and 'loved' indicate strong satisfaction.",Few-Shot,True
"Dilemma: where the heck to find a nice place to eat near AZ Fairgrounds/Grand? (Shiverrrrrrrrrrrrr)

Promblem solved!  Found the answer @ Fez!

Candace was super speedy, always had a smile, and returned to our table about a dzn times in the 90 mins we were here.

Gazpacheo & Grilled Crustini was OMG good!  (problem was it only came with 3 tiny pieces of bread, had to ask for more, got few pieces of pita, still had 1/2 left bowl of gazpacheo, asked for more bread - cuz like what the heck are you going to do with a bowl of dip otherwise? and they charged us for the extra bread?  x 2 ?  not cool).

Cheese & Garlic Fondue was pretty good.  So was the Chicken Strips.

Really good drink specials (unfortunately, had none as their specialties are mostly tequila based - not for me!  nor am I a beer drinker, and I did not like their house wine).  But I did have a nice bottle of Sav. Blanc from New Zealand.

Anyhow, this fit the bill at having fabby Nom~Noms before heading over to the Coliseum (~ick~) at the Fairgrounds to see the Roller Derby Girls - Whoop~ Whoop!",4,4,"Overall positive experience with good food and service, but the extra charge for bread was a negative point.",Few-Shot,True
"Okay, so I like Canteen and all, but dear Lord, let's turn that music down a notch! These guys have a great happy hour, but I realistically wouldn't come here if it weren't for that. I quite enjoy the small bites' baby back ribs - the portions are so small, but since they are half price during happy hour, I get two orders! I'm not a big fan of Tequila, but I know they have a big selection (obviously). I really like the atmosphere here, and the service has always been good. I may or may not come back, but we'll see. Three solid stars from me.",3,3,"The review expresses mixed feelings. It likes the happy hour, ribs, atmosphere, and service, but dislikes the loud music and isn't sure about returning. The reviewer explicitly states 'Three solid stars from me.'",Few-Shot,True
